,Date,2,5,3,4
109,2015-07-22,35.2575,35.2575,35.2575,35.2575
110,2015-07-23,32.984,32.984,32.984,32.984
111,2015-07-24,33.0885,33.0885,33.0885,33.0885
112,2015-07-27,30.4088,30.4088,30.4088,30.4088
113,2015-07-28,39.518,39.518,39.518,39.518
114,2015-07-29,41.7908,41.7908,41.7908,41.7908
115,2015-07-30,37.4274,37.4274,37.4274,37.4274
116,2015-07-31,40.1739,40.1739,40.1739,40.1739
117,2015-08-03,40.4451,40.4451,40.4451,40.4451
118,2015-08-04,40.0245,40.0245,40.0245,40.0245
119,2015-08-05,40.2605,40.2605,40.2605,40.2605
120,2015-08-06,41.5067,41.5067,41.5067,41.5067
121,2015-08-07,40.7918,40.7918,40.7918,40.7918
122,2015-08-10,40.7498,40.7498,40.7498,40.7498
123,2015-08-11,40.1818,40.1818,40.1818,40.1818
124,2015-08-12,39.8311,39.8311,39.8311,39.8311
125,2015-08-13,39.6113,39.6113,39.6113,39.6113
126,2015-08-14,39.6506,39.6506,39.6506,39.6506
127,2015-08-17,40.0616,40.0616,40.0616,40.0616
128,2015-08-18,39.0725,39.0725,39.0725,39.0725
129,2015-08-19,37.4212,37.4212,37.4212,37.4212
130,2015-08-20,38.0322,38.0322,38.0322,38.0322
131,2015-08-21,35.2022,35.2022,35.2022,35.2022
132,2015-08-24,35.6079,35.6079,35.6079,35.6079
133,2015-08-25,48.3377,48.3377,48.3377,48.3377
134,2015-08-26,63.7886,63.7886,63.7886,63.7886
135,2015-08-27,61.1441,61.1441,61.1441,61.1441
136,2015-08-28,61.1636,61.1636,61.1636,61.1636
137,2015-08-31,62.2757,62.2757,62.2757,62.2757
138,2015-09-01,63.3325,63.3325,63.3325,63.3325
139,2015-09-02,60.8786,60.8786,60.8786,60.8786
140,2015-09-07,59.4933,59.4933,59.4933,59.4933
141,2015-09-08,47.9826,47.9826,47.9826,47.9826
142,2015-09-09,45.6272,45.6272,45.6272,45.6272
143,2015-09-10,41.7812,41.7812,41.7812,41.7812
144,2015-09-11,40.8639,40.8639,40.8639,40.8639
145,2015-09-14,42.346000000000004,42.346000000000004,42.346000000000004,42.346000000000004
146,2015-09-15,44.6282,44.6282,44.6282,44.6282
147,2015-09-16,41.3402,41.3402,41.3402,41.3402
148,2015-09-17,41.0635,41.0635,41.0635,41.0635
149,2015-09-18,40.1929,40.1929,40.1929,40.1929
150,2015-09-21,39.8087,39.8087,39.8087,39.8087
151,2015-09-22,37.1681,37.1681,37.1681,37.1681
152,2015-09-23,38.9306,38.9306,38.9306,38.9306
153,2015-09-24,37.6316,37.6316,37.6316,37.6316
154,2015-09-25,34.9099,34.9099,34.9099,34.9099
155,2015-09-28,31.9261,31.9261,31.9261,31.9261
156,2015-09-29,31.0967,31.0967,31.0967,31.0967
157,2015-09-30,30.654,30.654,30.654,30.654
158,2015-10-08,31.704,31.704,31.704,31.704
159,2015-10-09,30.0705,30.0705,30.0705,30.0705
160,2015-10-12,30.0717,30.0717,30.0717,30.0717
161,2015-10-13,31.9466,31.9466,31.9466,31.9466
162,2015-10-14,31.7062,31.7062,31.7062,31.7062
163,2015-10-15,29.6642,29.6642,29.6642,29.6642
164,2015-10-16,29.264,29.264,29.264,29.264
165,2015-10-19,30.3393,30.3393,30.3393,30.3393
166,2015-10-20,30.9892,30.9892,30.9892,30.9892
167,2015-10-21,32.7614,32.7614,32.7614,32.7614
168,2015-10-22,31.7985,31.7985,31.7985,31.7985
169,2015-10-23,30.6435,30.6435,30.6435,30.6435
170,2015-10-26,32.3929,32.3929,32.3929,32.3929
171,2015-10-27,30.8603,30.8603,30.8603,30.8603
172,2015-10-28,31.724,31.724,31.724,31.724
173,2015-10-29,31.7585,31.7585,31.7585,31.7585
174,2015-10-30,28.9647,28.9647,28.9647,28.9647
175,2015-11-02,29.8393,29.8393,29.8393,29.8393
176,2015-11-03,30.0101,30.0101,30.0101,30.0101
177,2015-11-04,30.249000000000002,30.249000000000002,30.249000000000002,30.249000000000002
178,2015-11-05,32.1612,32.1612,32.1612,32.1612
179,2015-11-06,32.4463,32.4463,32.4463,32.4463
180,2015-11-09,41.9332,41.9332,41.9332,41.9332
181,2015-11-10,43.0988,43.0988,43.0988,43.0988
182,2015-11-11,39.618,39.618,39.618,39.618
183,2015-11-12,38.7038,38.7038,38.7038,38.7038
184,2015-11-13,37.738,37.738,37.738,37.738
185,2015-11-16,38.3731,38.3731,38.3731,38.3731
186,2015-11-17,37.7239,37.7239,37.7239,37.7239
187,2015-11-18,37.0288,37.0288,37.0288,37.0288
188,2015-11-19,35.9863,35.9863,35.9863,35.9863
189,2015-11-20,34.0408,34.0408,34.0408,34.0408
190,2015-11-23,33.2238,33.2238,33.2238,33.2238
191,2015-11-24,31.8275,31.8275,31.8275,31.8275
192,2015-11-25,32.2776,32.2776,32.2776,32.2776
193,2015-11-26,29.695,29.695,29.695,29.695
194,2015-11-27,34.5815,34.5815,34.5815,34.5815
195,2015-11-30,34.5255,34.5255,34.5255,34.5255
196,2015-12-01,33.7301,33.7301,33.7301,33.7301
197,2015-12-02,32.4515,32.4515,32.4515,32.4515
198,2015-12-03,32.5298,32.5298,32.5298,32.5298
199,2015-12-04,32.4942,32.4942,32.4942,32.4942
200,2015-12-07,31.6027,31.6027,31.6027,31.6027
201,2015-12-08,31.4566,31.4566,31.4566,31.4566
202,2015-12-09,31.1209,31.1209,31.1209,31.1209
203,2015-12-10,30.8645,30.8645,30.8645,30.8645
