,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015-02-09,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.1826
2015-02-10,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2072
2015-02-11,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2107
2015-02-12,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2109
2015-02-13,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.209
2015-02-16,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2172
2015-02-17,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2296
2015-02-25,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.1885
2015-02-26,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.253
2015-02-27,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2488
2015-03-02,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2504
2015-03-03,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.179
2015-03-04,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.174
2015-03-05,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.1502
2015-03-06,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.1533
2015-03-09,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.1974
2015-03-10,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.1688
2015-03-11,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.1774
2015-03-12,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.2525
2015-03-13,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.257
2015-03-16,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.3075
2015-03-17,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.3385
2015-03-18,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4044
2015-03-19,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.3902
2015-03-20,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.429
2015-03-23,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4742
2015-03-24,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4415
2015-03-25,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
2015-03-26,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
2015-03-27,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
2015-03-30,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
2015-03-31,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
2015-04-01,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
2015-04-02,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
2015-04-03,50ETF购2015年3月2.20,认购,2.2,2015-03-25 00:00:00,0.4007
