,CLOSE,EXE_ENDDATE,EXE_MODE,EXE_PRICE,OUTMESSAGE,SEC_NAME
2018-03-01,0.3409,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-02,0.3201,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-05,0.3128,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-06,0.3418,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-07,0.3207,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-08,0.3487,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-09,0.3519,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-12,0.356,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-13,0.3246,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-14,0.3143,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-15,0.3408,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-16,0.3152,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-19,0.3392,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-20,0.3427,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-21,0.3285,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-22,0.299,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-23,0.1961,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-26,0.1797,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-27,0.1806,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-28,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-29,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-03-30,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-02,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-03,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-04,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-09,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-10,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-11,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-12,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-13,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-16,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-17,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-18,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-19,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
2018-04-20,0.1289,2018-03-28 00:00:00,认购,2.553,,50ETF购2018年3月2.553A
