,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2019-02-20,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.2402
2019-02-21,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.2287
2019-02-22,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.2769
2019-02-25,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4741
2019-02-26,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3878
2019-02-27,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4027
2019-02-28,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3969
2019-03-01,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4638
2019-03-04,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4722
2019-03-05,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4789
2019-03-06,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4848
2019-03-07,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4315
2019-03-08,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3355
2019-03-11,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3488
2019-03-12,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3515
2019-03-13,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3592
2019-03-14,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3639
2019-03-15,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.3909
2019-03-18,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4645
2019-03-19,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.44
2019-03-20,50ETF购3月2.352A,认购,2.352,2019-03-27 00:00:00,0.4456
2019-02-20,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.1984
2019-02-21,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.1869
2019-02-22,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.2305
2019-02-25,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.4274
2019-02-26,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3486
2019-02-27,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.358
2019-02-28,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3509
2019-03-01,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.4185
2019-03-04,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.4267
2019-03-05,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.4273
2019-03-06,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.435
2019-03-07,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3859
2019-03-08,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.29
2019-03-11,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3078
2019-03-12,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.31
2019-03-13,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3118
2019-03-14,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3166
2019-03-15,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3412
2019-03-18,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.4155
2019-03-19,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3886
2019-03-20,50ETF购3月2.401A,认购,2.401,2019-03-27 00:00:00,0.3963
2019-02-20,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.1578
2019-02-21,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.1487
2019-02-22,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.19
2019-02-25,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3811
2019-02-26,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.2995
2019-02-27,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3092
2019-02-28,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3042
2019-03-01,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3683
2019-03-04,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3764
2019-03-05,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3803
2019-03-06,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.381
2019-03-07,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3344
2019-03-08,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.2482
2019-03-11,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.2546
2019-03-12,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.2612
2019-03-13,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.2662
2019-03-14,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.2691
2019-03-15,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.295
2019-03-18,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.366
2019-03-19,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.344
2019-03-20,50ETF购3月2.45A,认购,2.45,2019-03-27 00:00:00,0.3483
2019-02-20,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.124
2019-02-21,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.1135
2019-02-22,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.1481
2019-02-25,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.3432
2019-02-26,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.257
2019-02-27,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.2674
2019-02-28,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.2592
2019-03-01,50ETF购3月2.50A,认购,2.5,2019-03-27 00:00:00,0.321
